Type    ,PID       ,Description                        ,50FA      ,300M      
Scalar  ,KVEFF_1   ,fuel ve cid multiplier             ,30723.00  ,35641.00  
Scalar  ,NLM_CL    ,rev limit                          ,5000.00   ,5500.00   
Scalar  ,SPLCLP    ,spark min allowed                  ,5.00      ,0.00      
Scalar  ,DRBASE    ,Idle drive                         ,600       ,624       
Scalar  ,NUBASE    ,Idle neutral                       ,600       ,664       
Scalar  ,ALOSL     ,Fuel - Injector Low Slope          ,19.6555   ,24.1925   
Function,FN331A    ,fuel accel enrichment vs tprel     ,
        ,         ,                                  ,50FA      ,         ,300M      
        ,         ,                                  ,180.00    ,32.000    ,-65536.00 ,0.000     
        ,         ,                                  ,140.00    ,32.000    ,-65536.00 ,0.000     
        ,         ,                                  ,100.00    ,0.000     ,-65536.00 ,***       
        ,         ,                                  ,-65536.00 ,0.000     ,***       ,***       
        ,         ,                                  ,-65536.00 ,0.000     ,***       ,***       
        ,         ,                                  ,-65536.00 ,0.000     ,***       ,***       
        ,         ,                                  ,-65536.00 ,0.000     ,***       ,***       
        ,         ,                                  ,-65536.00 ,0.000     ,***       ,***       

Function,FN724A    ,spark table ect retard             ,
        ,         ,                                  ,50FA      ,         ,300M      
        ,         ,                                  ,65534.00  ,48.000    ,***       ,0.000     
        ,         ,                                  ,254.00    ,48.000    ,-65536.00 ,0.000     
        ,         ,                                  ,216.00    ,32.000    ,-65536.00 ,0.000     
        ,         ,                                  ,160.00    ,0.000     ,-65536.00 ,***       
        ,         ,                                  ,-65536.00 ,0.000     ,***       ,***       
        ,         ,                                  ,-65536.00 ,0.000     ,***       ,***       
        ,         ,                                  ,-65536.00 ,0.000     ,***       ,***       
        ,         ,                                  ,-65536.00 ,0.000     ,***       ,***       
        ,         ,                                  ,-65536.00 ,0.000     ,***       ,***       
        ,         ,                                  ,-65536.00 ,0.000     ,***       ,***       
        ,         ,                                  ,-65536.00 ,0.000     ,***       ,***       

Function,FN070C    ,x fuel cold ect                    ,
        ,         ,                                  ,50FA      ,         ,300M      
        ,         ,                                  ,8191.75   ,9.000     ,***       ,***       
        ,         ,                                  ,3520.00   ,9.000     ,3680.00   ,***       
        ,         ,                                  ,2560.00   ,7.000     ,1760.00   ,5.000     
        ,         ,                                  ,2240.00   ,6.000     ,800.00    ,2.000     
        ,         ,                                  ,1760.00   ,5.000     ,320.00    ,1.000     
        ,         ,                                  ,800.00    ,2.000     ,-320.00   ,0.000     
        ,         ,                                  ,320.00    ,1.000     ,-8192.00  ,0.000     
        ,         ,                                  ,-320.00   ,0.000     ,-8192.00  ,***       
        ,         ,                                  ,-8192.00  ,0.000     ,***       ,***       
        ,         ,                                  ,-8192.00  ,0.000     ,***       ,***       

Function,FN023     ,x fuel cranking pw ect             ,
        ,         ,                                  ,50FA      ,         ,300M      
        ,         ,                                  ,32767.00  ,4.000     ,***       ,***       
        ,         ,                                  ,110.00    ,4.000     ,***       ,***       
        ,         ,                                  ,-10.00    ,0.000     ,85.00     ,3.000     
        ,         ,                                  ,-32768.00 ,0.000     ,60.00     ,1.000     
        ,         ,                                  ,-32768.00 ,0.000     ,-10.00    ,***       
        ,         ,                                  ,-32768.00 ,0.000     ,***       ,***       

Function,FN070B    ,x fuel spark rpm                   ,
        ,         ,                                  ,50FA      ,         ,300M      
        ,         ,                                  ,16383.75  ,9.000     ,***       ,***       
        ,         ,                                  ,4500.00   ,9.000     ,5000.00   ,***       
        ,         ,                                  ,1000.00   ,2.000     ,***       ,1.000     
        ,         ,                                  ,500.00    ,0.000     ,600.00    ,***       
        ,         ,                                  ,0.00      ,0.000     ,***       ,***       
        ,         ,                                  ,0.00      ,0.000     ,***       ,***       
        ,         ,                                  ,0.00      ,0.000     ,***       ,***       

Function,FN070     ,x fuel ve table rpm                ,
        ,         ,                                  ,50FA      ,         ,300M      
        ,         ,                                  ,16383.75  ,11.000    ,***       ,***       
        ,         ,                                  ,4500.00   ,11.000    ,5000.00   ,***       
        ,         ,                                  ,1500.00   ,5.000     ,1000.00   ,3.000     
        ,         ,                                  ,500.00    ,1.000     ,***       ,***       
        ,         ,                                  ,400.00    ,0.000     ,***       ,***       
        ,         ,                                  ,0.00      ,0.000     ,***       ,***       
        ,         ,                                  ,0.00      ,0.000     ,***       ,***       
        ,         ,                                  ,0.00      ,0.000     ,***       ,***       

Function,FN020     ,y fuel startup enrichment cold map ,
        ,         ,                                  ,50FA      ,         ,300M      
        ,         ,                                  ,65535.00  ,7.000     ,***       ,***       
        ,         ,                                  ,180.00    ,7.000     ,***       ,***       
