ET,AEFUEL,FINJ_MULT,KAMRF1,LAMBSE1,PWOFF,ISCDTY,ISCTMR,EGRFLO,SAF,SAFTOT,IEGO1,BP,MPG_MODE,RPM,VSS,AD_CHANNEL_VCAL,AD_CHANNEL_TAR,AD_CHANNEL_BAT,AD_CHANNEL_OCC,AD_CHANNEL_TP,AD_CHANNEL_ACT,AD_CHANNEL_ECT,AD_CHANNEL_NDS,AD_CHANNEL_IEGO,28C,28D,28E,ACT,ECT,ATMR1,ATMR2,ATMR3,APT,RATCH,TAR,TP_REL,VBAT,LOAD_FUEL,LOAD_VE,MAP,VE,OLFLG,WOTFLG,0x93,0xA3,0x26,0xBD,0xDC,0x2C4,0x1DE,0xB7,0x40,0x1A,0x3C,0x21C,0x9C,0x15C,LTFT1,LTFT2,STFT1,STFT2,HP,TQ,IMPG,MPG,DIST,INJDC1,INJDC2,GEAR,AFR_Error,Marker
66.661,0,1.3125,1,0.904717548,273,28.55224673,0,0,2.5,2.5,1019,29.875,4,685,0,512,343,435,1,226,341,525,0,1019,0,0,0,88,124,118,0,118,255,1.10459433,0,1.10459433,12,0.546875,0.546875,16.5,0,12,0,132,10,54,43,24,0,0,56,64,168,140,14464,3108,46,0,0,93.82023547,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
66.701,0,1.3125,1,0.904717548,273,28.49426333,0,0,2.25,2.25,1018,29.875,4,703,0,512,347,425,1,226,341,525,0,1018,0,0,0,88,124,118,0,118,255,1.10459433,0,1.10459433,11.9375,0.546875,0.546875,16.375,0,12,0,132,10,54,43,24,0,0,56,64,168,121,14464,3192,35,0,0,93.82023547,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
66.78,0,1.3125,1,0.904717548,273,28.49426333,0,0,2.25,2.25,1018,29.875,4,703,0,512,347,425,1,226,341,525,0,1018,0,0,0,88,124,118,0,118,255,1.10459433,0,1.10459433,11.9375,0.546875,0.546875,16.375,0,12,0,132,10,54,43,24,0,0,56,64,168,121,14464,3192,35,0,0,93.82023547,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
66.819,0,1.28125,1,0.904717548,266,28.49426333,0,0,1.75,2,1018,29.875,4,693,0,512,345,439,1,226,341,525,0,1018,0,0,0,88,124,118,0,118,255,1.10459433,0,1.10459433,11.9375,0.546875,0.546875,16.375,0,12,0,132,11,54,43,24,0,0,56,64,168,121,14464,3143,34,0,0,93.82023547,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
66.858,0,1.3125,1,0.904717548,273,28.49426333,0,0,1.75,1.75,1018,29.875,4,691,0,512,345,438,1,226,341,525,0,1018,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,11.9375,0.546875,0.546875,16.5,0,12,0,132,10,54,43,25,0,0,56,64,168,121,14464,3121,42,0,0,93.82023547,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
66.9,0,1.28125,1,0.904717548,266,28.49426333,0,0,1.75,1.75,1018,29.875,4,696,0,512,311,439,1,226,341,525,0,1018,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,11.9375,0.546875,0.546875,16.375,0,12,0,132,11,54,43,25,0,0,56,64,168,121,14464,3134,38,0,0,93.82023547,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
66.94,0,1.28125,1,0.904717548,266,28.49426333,0,0,2.25,2.25,1018,29.875,4,683,0,512,339,439,1,226,341,525,0,1018,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,12,0.546875,0.5546875,16.5,0,12,0,132,10,54,43,25,0,0,56,64,168,121,14464,3095,48,0,0,93.82023547,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
66.98,0,1.28125,1,0.904717548,266,28.49426333,0,0,2.25,2.25,1018,29.875,4,683,0,512,339,439,1,226,341,525,0,1018,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,12,0.546875,0.5546875,16.5,0,12,0,132,10,54,43,25,0,0,56,64,168,121,14464,3095,48,0,0,93.82023547,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
67.019,0,1.3125,1,0.904717548,273,28.49426333,0,0,1.75,1.75,1018,29.875,4,723,0,512,343,437,1,226,341,525,0,1018,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,11.9375,0.546875,0.546875,16.5,0,12,0,132,10,54,43,25,0,0,56,64,168,121,14464,3342,29,0,0,93.82023547,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
67.058,0,1.3125,1,0.904717548,273,28.49426333,0,0,1.75,1.75,1018,29.875,4,736,0,512,343,439,1,226,341,525,0,1018,0,0,0,88,124,119,0,119,255,1.10459433,0,1.10459433,11.875,0.546875,0.546875,16.375,0,12,0,132,11,54,43,25,0,0,56,64,168,121,14464,3381,26,0,0,93.82023547,0,0,0,NaN,NaN,NaN,0,0,NaN,NaN,0
